1,blackscholes,86.894,86.35300000000001,0.534
1,canneal,189.524,188.957,0.558
1,dedup,14.364,16.927,2.915
1,ferret,227.203,295.687,0.517
1,freqmine,346.21500000000003,345.706,0.483
1,radix,40.796,38.812,1.982
1,vips,65.239,65.34,1.195
2,blackscholes,48.637,86.375,0.528
2,canneal,108.83500000000001,180.526,0.495
2,dedup,7.653,18.833,2.786
2,ferret,115.37,302.775,0.499
2,freqmine,174.437,346.952,0.576
2,radix,20.623,39.04,1.878
2,vips,32.953,66.008,0.97
4,blackscholes,29.598,86.481,0.548
4,canneal,66.469,160.404,0.62
4,dedup,5.207,19.588,4.103
4,ferret,63.799,349.41700000000003,0.56
4,freqmine,87.675,346.19,0.64
4,radix,10.473,38.865,2.093
4,vips,17.002,67.305,1.882
8,blackscholes,22.439,105.43299999999999,0.575
8,canneal,55.72,199.445,0.796
8,dedup,5.655,25.927,9.398
8,ferret,55.033,435.577,0.534
8,freqmine,71.853,561.541,0.96
8,radix,6.759,48.985,2.57
8,vips,16.001,124.522,2.61
